Dre Gene ID	Dre Protein ID	Dre Gene Name	Eel Gene ID	Eel Protein ID	Eel Gene Name
ENSDARP00000101926	ENSDARG00000077962	gltpb	ENSEEEP00000020473	ENSEEEG00000010000	gltpb
ENSDARP00000129379	ENSDARG00000090543	tmem138	ENSEEEP00000037750	ENSEEEG00000017946	TMEM138
ENSDARP00000104248	ENSDARG00000075161	defbl1	ENSEEEP00000005804	ENSEEEG00000003074	defbl1
ENSDARP00000115190	ENSDARG00000002731	sdc2	ENSEEEP00000015891	ENSEEEG00000007858	SDC2
ENSDARP00000143210	ENSDARG00000042810	or64d1	ENSEEEP00000054624	ENSEEEG00000026411	
ENSDARP00000008668	ENSDARG00000004774	wdr36	ENSEEEP00000031304	ENSEEEG00000014953	WDR36
ENSDARP00000112094	ENSDARG00000039400	polr1c	ENSEEEP00000047437	ENSEEEG00000022323	POLR1C
ENSDARP00000095107	ENSDARG00000070833	lin52	ENSEEEP00000035947	ENSEEEG00000017095	LIN52
ENSDARP00000119708	ENSDARG00000074662	cntf	ENSEEEP00000018517	ENSEEEG00000009098	CNTF
ENSDARP00000100216	ENSDARG00000076283	snrpd3l	ENSEEEP00000037933	ENSEEEG00000018023	snrpd3l
ENSDARP00000014157	ENSDARG00000011727	b9d1	ENSEEEP00000010963	ENSEEEG00000005553	B9D1
ENSDARP00000128127	ENSDARG00000076094	klhl30	ENSEEEP00000010610	ENSEEEG00000005378	KLHL30
ENSDARP00000118357	ENSDARG00000069329	drgx	ENSEEEP00000002962	ENSEEEG00000001687	DRGX
ENSDARP00000062829	ENSDARG00000105827	or62c1	ENSEEEP00000049854	ENSEEEG00000023432	
ENSDARP00000132646	ENSDARG00000058996	jam2a	ENSEEEP00000054891	ENSEEEG00000020378	jam2a
ENSDARP00000131473	ENSDARG00000099642	dcun1d1	ENSEEEP00000028706	ENSEEEG00000013769	DCUN1D1
ENSDARP00000106482	ENSDARG00000055389	sona	ENSEEEP00000054701	ENSEEEG00000028660	SRRM1
ENSDARP00000018877	ENSDARG00000019507	mcm5	ENSEEEP00000016262	ENSEEEG00000008042	MCM5
ENSDARP00000002547	ENSDARG00000009087	cd74a	ENSEEEP00000055587	ENSEEEG00000014768	cd74a
ENSDARP00000108054	ENSDARG00000008480	trmt61a	ENSEEEP00000009711	ENSEEEG00000004950	TRMT61A
ENSDARP00000154574	ENSDARG00000091584	si:ch73-217n20.1	ENSEEEP00000024973	ENSEEEG00000012109	si:ch73-217n20.1
ENSDARP00000142650	ENSDARG00000036036	mdka	ENSEEEP00000020498	ENSEEEG00000010009	mdka
ENSDARP00000074109	ENSDARG00000057060	tvp23b	ENSEEEP00000020719	ENSEEEG00000010106	tvp23b
ENSDARP00000132548	ENSDARG00000098825	farsa	ENSEEEP00000039443	ENSEEEG00000018724	FARSA
ENSDARP00000041053	ENSDARG00000031757	tmc4	ENSEEEP00000054127	ENSEEEG00000023993	tmc4
ENSDARP00000069326	ENSDARG00000041372	qng1	ENSEEEP00000003643	ENSEEEG00000001984	C9orf64
ENSDARP00000133518	ENSDARG00000070801	opa1	ENSEEEP00000014122	ENSEEEG00000005403	OPA1
ENSDARP00000132763	ENSDARG00000101669	elmod2	ENSEEEP00000055744	ENSEEEG00000016368	elmod2
ENSDARP00000014099	ENSDARG00000006553	rras	ENSEEEP00000033562	ENSEEEG00000015969	RRAS
ENSDARP00000117308	ENSDARG00000039354	ska1	ENSEEEP00000036067	ENSEEEG00000017155	SKA1
ENSDARP00000038892	ENSDARG00000028017	tp53inp1	ENSEEEP00000049037	ENSEEEG00000023040	TP53INP1
ENSDARP00000061300	ENSDARG00000041828	si:dkeyp-28d2.4	ENSEEEP00000048526	ENSEEEG00000022833	
ENSDARP00000023938	ENSDARG00000007323	chmp4bb	ENSEEEP00000003653	ENSEEEG00000001996	chmp4bb
ENSDARP00000092693	ENSDARG00000069823	proca1	ENSEEEP00000007126	ENSEEEG00000003759	
ENSDARP00000099148	ENSDARG00000078645	camkk2	ENSEEEP00000053840	ENSEEEG00000018022	si:ch73-62l21.1
ENSDARP00000092407	ENSDARG00000039406	prom2	ENSEEEP00000047522	ENSEEEG00000022367	PROM2
ENSDARP00000126242	ENSDARG00000096252	artna	ENSEEEP00000012463	ENSEEEG00000006260	artna
ENSDARP00000078381	ENSDARG00000059951	pld6	ENSEEEP00000016690	ENSEEEG00000008274	PLD6
ENSDARP00000114457	ENSDARG00000062244	setd2	ENSEEEP00000027597	ENSEEEG00000013290	SETD2
ENSDARP00000038400	ENSDARG00000028327	gmfb	ENSEEEP00000060640	ENSEEEG00000028152	GMFB
ENSDARP00000114872	ENSDARG00000094504	plekha1b	ENSEEEP00000057404	ENSEEEG00000021345	plekha1b
ENSDARP00000119170	ENSDARG00000008931	renbp	ENSEEEP00000004407	ENSEEEG00000002287	RENBP
ENSDARP00000119497	ENSDARG00000093367	si:ch1073-272j17.3	ENSEEEP00000026274	ENSEEEG00000012706	
ENSDARP00000108126	ENSDARG00000075149	nagpa	ENSEEEP00000049038	ENSEEEG00000023041	NAGPA
ENSDARP00000114968	ENSDARG00000056784	aire	ENSEEEP00000044037	ENSEEEG00000020805	AIRE
ENSDARP00000012786	ENSDARG00000018441	heg1	ENSEEEP00000023150	ENSEEEG00000011225	HEG1
ENSDARP00000082874	ENSDARG00000061747	dipk2b	ENSEEEP00000064615	ENSEEEG00000027905	DIPK2B
ENSDARP00000025996	ENSDARG00000020448	adi1	ENSEEEP00000017255	ENSEEEG00000008533	ADI1
ENSDARP00000122091	ENSDARG00000052923	zgc:113162	ENSEEEP00000055428	ENSEEEG00000029103	zgc:113162
ENSDARP00000142149	ENSDARG00000098164	aipl2	ENSEEEP00000045927	ENSEEEG00000021624	aipl2
ENSDARP00000116702	ENSDARG00000058990	slc35a2	ENSEEEP00000060453	ENSEEEG00000028299	SLC35A2
ENSDARP00000123443	ENSDARG00000090592	taar10b	ENSEEEP00000063025	ENSEEEG00000028994	TAAR1
ENSDARP00000084036	ENSDARG00000036295	golga7ba	ENSEEEP00000012835	ENSEEEG00000006428	golga7ba
ENSDARP00000120613	ENSDARG00000046090	dhrs11a	ENSEEEP00000050505	ENSEEEG00000023747	dhrs11a
ENSDARP00000141058	ENSDARG00000098529	ccne2	ENSEEEP00000049036	ENSEEEG00000023039	CCNE2
ENSDARP00000108885	ENSDARG00000019572	taf7	ENSEEEP00000046074	ENSEEEG00000021664	TAF7
ENSDARP00000007824	ENSDARG00000020311	cnih1	ENSEEEP00000014000	ENSEEEG00000006963	CNIH1
ENSDARP00000141857	ENSDARG00000103747	cav1	ENSEEEP00000064632	ENSEEEG00000027897	CAV1
ENSDARP00000122371	ENSDARG00000068232	cbln12	ENSEEEP00000040391	ENSEEEG00000019127	cbln12
ENSDARP00000127878	ENSDARG00000097093	cnp4l	ENSEEEP00000004809	ENSEEEG00000002509	NPPC
ENSDARP00000076258	ENSDARG00000058865	endog	ENSEEEP00000044504	ENSEEEG00000021025	ENDOG
ENSDARP00000149215	ENSDARG00000103746	mapkbp1	ENSEEEP00000008231	ENSEEEG00000004301	
ENSDARP00000047623	ENSDARG00000034600	tmem165	ENSEEEP00000057238	ENSEEEG00000026469	TMEM165
ENSDARP00000109895	ENSDARG00000078707	sema7a	ENSEEEP00000003026	ENSEEEG00000001715	SEMA7A
ENSDARP00000076379	ENSDARG00000058964	themis2	ENSEEEP00000044218	ENSEEEG00000020891	THEMIS2
ENSDARP00000043665	ENSDARG00000034222	hs1bp3	ENSEEEP00000018932	ENSEEEG00000009284	HS1BP3
ENSDARP00000088108	ENSDARG00000067605	napaa	ENSEEEP00000009552	ENSEEEG00000004774	napaa
ENSDARP00000075407	ENSDARG00000058147	dnajc5b	ENSEEEP00000021676	ENSEEEG00000010541	DNAJC5B
ENSDARP00000057468	ENSDARG00000010154	vstm4a	ENSEEEP00000002967	ENSEEEG00000001690	vstm4a
ENSDARP00000135516	ENSDARG00000104188	fam83fb	ENSEEEP00000008307	ENSEEEG00000004339	fam83fb
ENSDARP00000021737	ENSDARG00000006782	rb1	ENSEEEP00000060286	ENSEEEG00000004262	RB1
ENSDARP00000094784	ENSDARG00000053896	slc30a1b	ENSEEEP00000006029	ENSEEEG00000003208	slc30a1b
ENSDARP00000094017	ENSDARG00000070394	uroc1	ENSEEEP00000063540	ENSEEEG00000010375	UROC1
ENSDARP00000043171	ENSDARG00000078785	tmem258	ENSEEEP00000037760	ENSEEEG00000017951	TMEM258
ENSDARP00000122154	ENSDARG00000045658	msrb3	ENSEEEP00000037437	ENSEEEG00000017802	MSRB3
ENSDARP00000127663	ENSDARG00000089131	il17rel	ENSEEEP00000045561	ENSEEEG00000021496	il17rel
ENSDARP00000062550	ENSDARG00000042641	cyp51	ENSEEEP00000035082	ENSEEEG00000016683	cyp51
ENSDARP00000138100	ENSDARG00000102636	trmt9b	ENSEEEP00000027385	ENSEEEG00000013210	trmt9b
ENSDARP00000082703	ENSDARG00000061692	yjefn3	ENSEEEP00000062638	ENSEEEG00000022466	NAXE
ENSDARP00000104600	ENSDARG00000078676	myrf	ENSEEEP00000029501	ENSEEEG00000014130	MYRF
ENSDARP00000141151	ENSDARG00000094214	zbed4l2	ENSEEEP00000009554	ENSEEEG00000004886	si:dkeyp-117b8.4
ENSDARP00000056800	ENSDARG00000038909	msl2a	ENSEEEP00000009585	ENSEEEG00000004893	msl2a
ENSDARP00000128588	ENSDARG00000091222	si:dkey-190l8.2	ENSEEEP00000035224	ENSEEEG00000016759	CNR2
ENSDARP00000128200	ENSDARG00000069441	lpar6b	ENSEEEP00000008476	ENSEEEG00000004422	lpar6b
ENSDARP00000140806	ENSDARG00000098209	simc1	ENSEEEP00000061735	ENSEEEG00000000822	si:ch211-199b20.3
ENSDARP00000074434	ENSDARG00000010244	rpl22l1	ENSEEEP00000046851	ENSEEEG00000022057	rpl22l1
ENSDARP00000141690	ENSDARG00000104018	mtpn	ENSEEEP00000003416	ENSEEEG00000001906	MTPN
ENSDARP00000003084	ENSDARG00000019250	fancf	ENSEEEP00000003299	ENSEEEG00000001857	FANCF
ENSDARP00000022291	ENSDARG00000014626	dlx3b	ENSEEEP00000038797	ENSEEEG00000018403	dlx3b
ENSDARP00000097436	ENSDARG00000071872	zdhhc15b	ENSEEEP00000018876	ENSEEEG00000009256	zdhhc15b
ENSDARP00000046359	ENSDARG00000019709	rhoua	ENSEEEP00000005143	ENSEEEG00000002681	rhoua
ENSDARP00000069631	ENSDARG00000053155	alg3	ENSEEEP00000061378	ENSEEEG00000007242	ALG3
ENSDARP00000025170	ENSDARG00000006044	usta	ENSEEEP00000057798	ENSEEEG00000011584	usta
ENSDARP00000094804	ENSDARG00000070681	c1qtnf12	ENSEEEP00000041248	ENSEEEG00000019524	C1QTNF12
ENSDARP00000128928	ENSDARG00000074393	sh3yl1	ENSEEEP00000033451	ENSEEEG00000015903	SH3YL1
ENSDARP00000122434	ENSDARG00000027129	tmem218	ENSEEEP00000018252	ENSEEEG00000008968	TMEM218
ENSDARP00000063577	ENSDARG00000043307	srd5a3	ENSEEEP00000040653	ENSEEEG00000019266	srd5a3
ENSDARP00000099280	ENSDARG00000076609	si:ch211-199g17.9	ENSEEEP00000016376	ENSEEEG00000008110	si:ch211-199g17.9
ENSDARP00000007237	ENSDARG00000018623	rad54l	ENSEEEP00000012481	ENSEEEG00000006263	RAD54L
ENSDARP00000120005	ENSDARG00000069122	si:ch211-216l23.2	ENSEEEP00000047550	ENSEEEG00000022384	si:ch211-216l23.2
ENSDARP00000120376	ENSDARG00000088891	slc23a3	ENSEEEP00000038783	ENSEEEG00000018397	SLC23A3
ENSDARP00000123248	ENSDARG00000020455	si:ch211-171h4.3	ENSEEEP00000049325	ENSEEEG00000023186	si:ch211-171h4.3
ENSDARP00000003525	ENSDARG00000017193	cnn1a	ENSEEEP00000016718	ENSEEEG00000008276	cnn1b
ENSDARP00000109291	ENSDARG00000040553	tmem97	ENSEEEP00000052488	ENSEEEG00000024584	TMEM97
ENSDARP00000016277	ENSDARG00000018106	eif2b3	ENSEEEP00000022382	ENSEEEG00000010870	EIF2B3
ENSDARP00000013575	ENSDARG00000004724	tcea3	ENSEEEP00000013540	ENSEEEG00000006769	TCEA3
ENSDARP00000155550	ENSDARG00000000568	ell	ENSEEEP00000058294	ENSEEEG00000012323	ELL
ENSDARP00000133743	ENSDARG00000070161	vamp3	ENSEEEP00000030112	ENSEEEG00000014435	VAMP3
ENSDARP00000127610	ENSDARG00000090969	cbln18	ENSEEEP00000050402	ENSEEEG00000023702	cbln18
ENSDARP00000037794	ENSDARG00000024465	mrps18a	ENSEEEP00000051328	ENSEEEG00000024083	MRPS18A
ENSDARP00000137371	ENSDARG00000098437	si:ch211-9d9.8	ENSEEEP00000063452	ENSEEEG00000027310	
ENSDARP00000121802	ENSDARG00000040556	ift20	ENSEEEP00000052486	ENSEEEG00000024583	IFT20
ENSDARP00000070099	ENSDARG00000053569	sox3	ENSEEEP00000026074	ENSEEEG00000012627	SOX3
ENSDARP00000153106	ENSDARG00000093022	selenoh	ENSEEEP00000006174	ENSEEEG00000003293	SELENOH
ENSDARP00000064232	ENSDARG00000043740	efcab11	ENSEEEP00000011286	ENSEEEG00000005721	EFCAB11
ENSDARP00000137083	ENSDARG00000055538	avl9	ENSEEEP00000026677	ENSEEEG00000012810	AVL9
ENSDARP00000139372	ENSDARG00000069114	unc93b1	ENSEEEP00000007382	ENSEEEG00000003871	UNC93B1
ENSDARP00000086779	ENSDARG00000063292	ssuh2rs1	ENSEEEP00000005857	ENSEEEG00000003111	ssuh2rs1
ENSDARP00000065237	ENSDARG00000017425	crocc2	ENSEEEP00000055667	ENSEEEG00000028929	CROCC2
ENSDARP00000103658	ENSDARG00000073786	cmbl	ENSEEEP00000002443	ENSEEEG00000001430	CMBL
ENSDARP00000002813	ENSDARG00000057143	nradd	ENSEEEP00000027599	ENSEEEG00000013294	nradd
ENSDARP00000137582	ENSDARG00000103114	ndufa4l2a	ENSEEEP00000029954	ENSEEEG00000014349	ndufa4l2a
ENSDARP00000055674	ENSDARG00000038185	gh1	ENSEEEP00000022735	ENSEEEG00000011022	gh1
ENSDARP00000090527	ENSDARG00000074703	ccdc97	ENSEEEP00000010847	ENSEEEG00000005491	CCDC97
ENSDARP00000098972	ENSDARG00000096073	col19a1	ENSEEEP00000051326	ENSEEEG00000024081	
ENSDARP00000117092	ENSDARG00000035607	ankle2	ENSEEEP00000019762	ENSEEEG00000009577	ANKLE2
ENSDARP00000048035	ENSDARG00000029112	gem	ENSEEEP00000042777	ENSEEEG00000020184	GEM
ENSDARP00000066759	ENSDARG00000045399	cct5	ENSEEEP00000064626	ENSEEEG00000001432	CCT5
ENSDARP00000122149	ENSDARG00000020427	nceh1a	ENSEEEP00000009677	ENSEEEG00000004896	nceh1a
ENSDARP00000115164	ENSDARG00000059028	srrd	ENSEEEP00000023283	ENSEEEG00000011288	SRRD
ENSDARP00000091094	ENSDARG00000069116	timm10	ENSEEEP00000059117	ENSEEEG00000026248	TIMM10
ENSDARP00000114222	ENSDARG00000061948	amotl2b	ENSEEEP00000044031	ENSEEEG00000020801	amotl2b
ENSDARP00000083130	ENSDARG00000061852	olfml3a	ENSEEEP00000041246	ENSEEEG00000019522	olfml3a
ENSDARP00000100891	ENSDARG00000073773	tti2	ENSEEEP00000024515	ENSEEEG00000011886	TTI2
ENSDARP00000130182	ENSDARG00000061940	htr4	ENSEEEP00000029782	ENSEEEG00000014266	HTR4
ENSDARP00000133858	ENSDARG00000100633	zgc:114200	ENSEEEP00000043024	ENSEEEG00000020311	zgc:114200
ENSDARP00000115242	ENSDARG00000095268	cd34	ENSEEEP00000004529	ENSEEEG00000002362	si:dkey-261h17.1
ENSDARP00000017163	ENSDARG00000007892	pdcd2	ENSEEEP00000005136	ENSEEEG00000002677	PDCD2
ENSDARP00000131853	ENSDARG00000102956	mmp17b	ENSEEEP00000058952	ENSEEEG00000027438	mmp17b
ENSDARP00000121390	ENSDARG00000000779	scfd1	ENSEEEP00000057444	ENSEEEG00000001975	SCFD1
ENSDARP00000003222	ENSDARG00000006040	cyp20a1	ENSEEEP00000018603	ENSEEEG00000009120	CYP20A1
ENSDARP00000092475	ENSDARG00000076169	pold3	ENSEEEP00000005809	ENSEEEG00000003079	pold3
ENSDARP00000090524	ENSDARG00000068870	fance	ENSEEEP00000014484	ENSEEEG00000007211	FANCE
ENSDARP00000065995	ENSDARG00000044899	tmem183a	ENSEEEP00000039100	ENSEEEG00000018570	TMEM183A
ENSDARP00000098580	ENSDARG00000003527	mak16	ENSEEEP00000024541	ENSEEEG00000011888	MAK16
ENSDARP00000052502	ENSDARG00000036158	nudcd1	ENSEEEP00000012404	ENSEEEG00000006233	NUDCD1
ENSDARP00000066106	ENSDARG00000044972	bcap31	ENSEEEP00000031295	ENSEEEG00000014986	BCAP31
ENSDARP00000053284	ENSDARG00000036684	ndufa7	ENSEEEP00000007563	ENSEEEG00000003951	ndufa7
ENSDARP00000010211	ENSDARG00000014994	tbp	ENSEEEP00000005112	ENSEEEG00000002646	TBP
ENSDARP00000096665	ENSDARG00000071560	dlx4b	ENSEEEP00000038798	ENSEEEG00000018404	dlx4b
ENSDARP00000106483	ENSDARG00000012496	si:ch211-213o11.11	ENSEEEP00000019900	ENSEEEG00000009731	GPR62
ENSDARP00000122707	ENSDARG00000076013	mab21l3	ENSEEEP00000055237	ENSEEEG00000021697	
ENSDARP00000054077	ENSDARG00000037188	rpa2	ENSEEEP00000044225	ENSEEEG00000020892	RPA2
ENSDARP00000155065	ENSDARG00000045398	mtrr	ENSEEEP00000002465	ENSEEEG00000001441	MTRR
ENSDARP00000104766	ENSDARG00000090812	taar14g	ENSEEEP00000024886	ENSEEEG00000012067	
ENSDARP00000136487	ENSDARG00000103907	sgo1	ENSEEEP00000025599	ENSEEEG00000012420	SGO1
ENSDARP00000133600	ENSDARG00000045929	oaz2a	ENSEEEP00000037786	ENSEEEG00000017961	oaz2a
ENSDARP00000003749	ENSDARG00000019503	zgc:103759	ENSEEEP00000061144	ENSEEEG00000024755	zgc:103759
ENSDARP00000122687	ENSDARG00000057105	nle1	ENSEEEP00000006444	ENSEEEG00000003406	NLE1
ENSDARP00000023098	ENSDARG00000015918	dlat	ENSEEEP00000008826	ENSEEEG00000004425	DLAT
ENSDARP00000071887	ENSDARG00000055115	dtnbp1a	ENSEEEP00000033716	ENSEEEG00000016057	dtnbp1a
ENSDARP00000155678	ENSDARG00000008439	atxn10	ENSEEEP00000002175	ENSEEEG00000001330	ATXN10
ENSDARP00000115135	ENSDARG00000069780	pus7l	ENSEEEP00000051450	ENSEEEG00000024155	PUS7L
ENSDARP00000074315	ENSDARG00000057263	zgc:173729	ENSEEEP00000043403	ENSEEEG00000020511	
ENSDARP00000141970	ENSDARG00000101890	pigr	ENSEEEP00000043681	ENSEEEG00000020648	PIGR
ENSDARP00000098697	ENSDARG00000076566	kank3	ENSEEEP00000007561	ENSEEEG00000003948	KANK3
ENSDARP00000103031	ENSDARG00000078546	cars2	ENSEEEP00000024651	ENSEEEG00000011938	CARS2
ENSDARP00000128147	ENSDARG00000097947	mespbb	ENSEEEP00000061932	ENSEEEG00000027941	mespba
ENSDARP00000101246	ENSDARG00000073837	senp2	ENSEEEP00000046685	ENSEEEG00000021987	SENP2
ENSDARP00000126371	ENSDARG00000012833	foxn3	ENSEEEP00000056520	ENSEEEG00000025086	FOXN3
ENSDARP00000129304	ENSDARG00000090386	polr1g	ENSEEEP00000046584	ENSEEEG00000021938	cd3eap
ENSDARP00000130471	ENSDARG00000099118	trappc9	ENSEEEP00000044536	ENSEEEG00000021003	TRAPPC9
ENSDARP00000060560	ENSDARG00000041323	csdc2a	ENSEEEP00000022958	ENSEEEG00000011143	csdc2a
ENSDARP00000130231	ENSDARG00000099752	si:dkey-19b23.7	ENSEEEP00000000793	ENSEEEG00000000541	si:dkey-19b23.7
ENSDARP00000045627	ENSDARG00000034420	irx6a	ENSEEEP00000010491	ENSEEEG00000005310	irx6a
ENSDARP00000074525	ENSDARG00000057414	phb	ENSEEEP00000033538	ENSEEEG00000015951	PHB
ENSDARP00000130680	ENSDARG00000102024	chmp6b	ENSEEEP00000060686	ENSEEEG00000025675	chmp6b
ENSDARP00000033132	ENSDARG00000025607	ifnphi1	ENSEEEP00000005938	ENSEEEG00000003157	pdcd10a
ENSDARP00000003107	ENSDARG00000007385	cct7	ENSEEEP00000062823	ENSEEEG00000008955	CCT7
ENSDARP00000038993	ENSDARG00000027529	hmox1a	ENSEEEP00000016243	ENSEEEG00000008040	hmox1a
ENSDARP00000114941	ENSDARG00000033259	dis3l2	ENSEEEP00000004794	ENSEEEG00000002383	dis3l2
ENSDARP00000060254	ENSDARG00000025977	blmh	ENSEEEP00000046733	ENSEEEG00000021947	BLMH
ENSDARP00000115401	ENSDARG00000094265	si:dkey-183n20.15	ENSEEEP00000027891	ENSEEEG00000013429	si:dkey-183n20.15
ENSDARP00000111958	ENSDARG00000086933	tnni3k	ENSEEEP00000027786	ENSEEEG00000013381	tnni3k
ENSDARP00000013392	ENSDARG00000003984	ltn1	ENSEEEP00000006426	ENSEEEG00000003404	LTN1
ENSDARP00000151538	ENSDARG00000063157	mapk8ip2	ENSEEEP00000014452	ENSEEEG00000007200	MAPK8IP2
ENSDARP00000084963	ENSDARG00000062517	fam110d	ENSEEEP00000037154	ENSEEEG00000017648	si:ch211-107n13.1
ENSDARP00000030382	ENSDARG00000027899	sem1	ENSEEEP00000046744	ENSEEEG00000022013	sem1
ENSDARP00000110201	ENSDARG00000061770	abcd4	ENSEEEP00000022202	ENSEEEG00000010660	ABCD4
ENSDARP00000126625	ENSDARG00000096645	si:ch211-131k2.2	ENSEEEP00000038799	ENSEEEG00000018405	si:ch211-131k2.2
ENSDARP00000129097	ENSDARG00000097236	svip	ENSEEEP00000003305	ENSEEEG00000001860	svip
ENSDARP00000119231	ENSDARG00000078790	lrrc18a	ENSEEEP00000002971	ENSEEEG00000001694	lrrc18a
ENSDARP00000052929	ENSDARG00000036438	ndufv1	ENSEEEP00000015457	ENSEEEG00000007653	NDUFV1
ENSDARP00000017550	ENSDARG00000003750	pfas	ENSEEEP00000027796	ENSEEEG00000012917	PFAS
ENSDARP00000110941	ENSDARG00000090642	ccdc92ba	ENSEEEP00000054989	ENSEEEG00000028939	si:dkey-54n8.4
ENSDARP00000042894	ENSDARG00000005112	cdh17	ENSEEEP00000042772	ENSEEEG00000020180	CDH17
ENSDARP00000005591	ENSDARG00000017078	mespaa	ENSEEEP00000034463	ENSEEEG00000016407	
ENSDARP00000065238	ENSDARG00000044420	dnajc19	ENSEEEP00000029001	ENSEEEG00000013910	DNAJC19
ENSDARP00000117556	ENSDARG00000027584	ttpa	ENSEEEP00000017272	ENSEEEG00000008537	TTPA
ENSDARP00000150497	ENSDARG00000008235	cog5	ENSEEEP00000053196	ENSEEEG00000001347	COG5
ENSDARP00000147536	ENSDARG00000038805	pigp	ENSEEEP00000059948	ENSEEEG00000012573	PIGP
ENSDARP00000050830	ENSDARG00000055078	chac2	ENSEEEP00000009493	ENSEEEG00000004845	CHAC2
ENSDARP00000114719	ENSDARG00000027657	crhb	ENSEEEP00000021655	ENSEEEG00000010533	crhb
ENSDARP00000135909	ENSDARG00000103754	aspm	ENSEEEP00000016846	ENSEEEG00000008349	SFI1
ENSDARP00000121232	ENSDARG00000045275	klhl14	ENSEEEP00000022210	ENSEEEG00000010786	KLHL14
ENSDARP00000139338	ENSDARG00000099915	p2ry2.1	ENSEEEP00000026075	ENSEEEG00000012628	P2RY4
ENSDARP00000075481	ENSDARG00000058212	ndnl2	ENSEEEP00000020342	ENSEEEG00000009924	ndnl2
ENSDARP00000055675	ENSDARG00000038186	rdm1	ENSEEEP00000022691	ENSEEEG00000011017	zgc:103564
ENSDARP00000135819	ENSDARG00000010400	lrrfip2	ENSEEEP00000016180	ENSEEEG00000008003	LRRFIP2
ENSDARP00000019234	ENSDARG00000012915	ech1	ENSEEEP00000063583	ENSEEEG00000015750	ech1
ENSDARP00000127109	ENSDARG00000078083	armc5	ENSEEEP00000028902	ENSEEEG00000013873	ARMC5
ENSDARP00000037227	ENSDARG00000025972	mcts1	ENSEEEP00000030493	ENSEEEG00000014603	MCTS1
ENSDARP00000026447	ENSDARG00000012432	fam76b	ENSEEEP00000020563	ENSEEEG00000010037	FAM76B
ENSDARP00000115431	ENSDARG00000008849	ptprq	ENSEEEP00000032781	ENSEEEG00000015614	PTPRQ
ENSDARP00000042594	ENSDARG00000031388	dctn2	ENSEEEP00000018199	ENSEEEG00000008944	DCTN2
ENSDARP00000051525	ENSDARG00000035546	jmjd7	ENSEEEP00000053301	ENSEEEG00000004297	JMJD7
ENSDARP00000099595	ENSDARG00000077396	tlcd2	ENSEEEP00000052675	ENSEEEG00000024668	TLCD2
ENSDARP00000065324	ENSDARG00000044484	cdc23	ENSEEEP00000001791	ENSEEEG00000000994	CDC23
ENSDARP00000072844	ENSDARG00000055974	tpmt.1	ENSEEEP00000015896	ENSEEEG00000007860	tpmt.1
ENSDARP00000134317	ENSDARG00000102300	ca9	ENSEEEP00000043022	ENSEEEG00000020310	CA9
ENSDARP00000100035	ENSDARG00000078916	chrdl2	ENSEEEP00000005814	ENSEEEG00000003081	CHRDL2
ENSDARP00000142109	ENSDARG00000056519	shtn3	ENSEEEP00000029823	ENSEEEG00000014285	si:dkey-280e21.3
ENSDARP00000012919	ENSDARG00000076574	si:ch211-171h4.6	ENSEEEP00000049334	ENSEEEG00000023187	si:ch73-160i9.3
ENSDARP00000132358	ENSDARG00000099724	relt	ENSEEEP00000049905	ENSEEEG00000023462	RELT
ENSDARP00000115562	ENSDARG00000053876	klhl26	ENSEEEP00000046388	ENSEEEG00000021842	KLHL26
ENSDARP00000009555	ENSDARG00000016607	echdc2	ENSEEEP00000017123	ENSEEEG00000008477	ECHDC2
ENSDARP00000067511	ENSDARG00000045928	psma4	ENSEEEP00000037788	ENSEEEG00000017962	PSMA4
ENSDARP00000072688	ENSDARG00000086493	mtnr1bb	ENSEEEP00000025623	ENSEEEG00000012430	mtnr1bb
ENSDARP00000020574	ENSDARG00000018738	zw10	ENSEEEP00000008869	ENSEEEG00000004568	ZW10
ENSDARP00000055576	ENSDARG00000038123	myl9a	ENSEEEP00000024019	ENSEEEG00000011650	myl9a
ENSDARP00000051526	ENSDARG00000097302	tbpl2	ENSEEEP00000008221	ENSEEEG00000004293	TBPL2
ENSDARP00000065336	ENSDARG00000044491	kif20a	ENSEEEP00000001513	ENSEEEG00000000982	KIF20A
ENSDARP00000103816	ENSDARG00000045039	kcnj16a	ENSEEEP00000021833	ENSEEEG00000010620	KCNJ16
ENSDARP00000012354	ENSDARG00000004392	hdr	ENSEEEP00000049406	ENSEEEG00000023221	hdr
ENSDARP00000065287	ENSDARG00000058162	pcyt1ba	ENSEEEP00000016719	ENSEEEG00000008273	pcyt1ba
ENSDARP00000102172	ENSDARG00000079276	ube2ql1	ENSEEEP00000028834	ENSEEEG00000013845	UBE2QL1
ENSDARP00000015246	ENSDARG00000012899	ddx49	ENSEEEP00000063257	ENSEEEG00000021843	DDX49
ENSDARP00000134616	ENSDARG00000102060	cstpp1	ENSEEEP00000034660	ENSEEEG00000016480	C11orf49
ENSDARP00000026471	ENSDARG00000019355	coa7	ENSEEEP00000017045	ENSEEEG00000008450	COA7
ENSDARP00000110243	ENSDARG00000068745	map4l	ENSEEEP00000058408	ENSEEEG00000022023	map4l
ENSDARP00000111637	ENSDARG00000055027	pomt2	ENSEEEP00000035951	ENSEEEG00000017099	POMT2
ENSDARP00000093277	ENSDARG00000023330	anp32b	ENSEEEP00000048045	ENSEEEG00000022640	anp32b
